subset,n,fraction,mx_std,mx_rmse,mx_rmse_over_std,mx_r2,median_abs_p_dot_smooth,median_abs_p,median_abs_elevon_diff
all,60658,0.9997857295907435,0.6716050360087619,0.5915564991104338,0.88081010027256,0.22417356725784277,16.626171730777305,0.449837317358038,0.10685959955056508
abs_p_dot_smooth_gt_p75,15164,0.2499381912280991,1.1849811526435252,1.0053468590409966,0.8484074677459722,0.28020476867286725,44.19722059544979,0.491096641493342,0.14732870304336151
abs_p_dot_smooth_gt_p90,6066,0.09998186942690906,1.5062394837058584,1.3320824334177102,0.8843762547907302,0.21787863996232137,57.69397559144319,0.5057045778145831,0.1741404204318921
abs_roll_rate_p_gt_p75,15159,0.2498557795322312,0.7314594736909362,0.6827771975409977,0.9334450124703584,0.12868040869421238,19.120768263947202,1.0604768223981385,0.14654765216012797
abs_roll_rate_p_gt_p90,6065,0.09996538708773549,0.7545674999018745,0.7440594074222452,0.9860740192481178,0.02765802856386268,19.550591623589092,1.3549772501469806,0.163455031812191
abs_roll_angle_gt_p75,15167,0.24998763824561981,0.729073881906414,0.6574117555618267,0.9017080050142491,0.18692267369322324,18.895375852679166,0.4856496299435954,0.17498979769879952
abs_roll_angle_gt_p90,6067,0.09999835176608264,0.7346904884518892,0.6625675553894741,0.9018322216007046,0.1866986440827375,19.823070300929093,0.49781766323959076,0.15510544677575427
abs_elevon_diff_gt_p75,15165,0.24995467356727266,0.8182905565154577,0.7513535145187469,0.9181989313407818,0.15691072248464621,22.00497654574922,0.5608660625551412,0.37515493233998615
abs_elevon_diff_gt_p90,6066,0.09998186942690906,0.9019957192446744,0.8402049241549657,0.9314954674713403,0.13231619408034934,25.288795237171286,0.6269547183400381,0.48905840516090393
