target,feature_group,n_features,test_r2,test_rmse,test_mae
fx_b,phase,4,0.8343388389474686,1.820298696304111,1.3384966229614064
fx_b,condition,5,0.03858935863993407,4.442414858600647,3.569104661698616
fx_b,controls,6,0.026019412456240953,4.413841578597686,3.6494671052303307
fx_b,rates,3,0.1311164790666437,4.168819464492778,3.2953895378992075
fx_b,phase+condition,9,0.8651574854767388,1.6637117044572312,1.246855764146907
fx_b,condition+controls+rates,14,0.1477390633626824,4.182721619279354,3.3341343993784167
fx_b,all,18,0.8676332330069878,1.6483982711164284,1.2343443823169804
fx_b,angular_derivatives_label_diagnostic,3,0.026796021459055352,4.411987217064268,3.5748039797695497
fy_b,phase,4,0.10731897337363083,0.9871931916208196,0.7278486249646567
fy_b,condition,5,-0.0037251288256796578,1.0592706632305404,0.780292141526689
fy_b,controls,6,-0.0005568274352920621,1.045181134909876,0.7761159133334496
fy_b,rates,3,0.1959783427330425,0.9368884240643018,0.6877104799366556
fy_b,phase+condition,9,0.1117360617791553,0.9964845314586237,0.7288055124067131
fy_b,condition+controls+rates,14,0.21734980519317504,0.9354138424444808,0.6765945387339702
fy_b,all,18,0.24288191322425623,0.9200295026895094,0.6624903116846147
fy_b,angular_derivatives_label_diagnostic,3,0.2638694407093375,0.8964610461950574,0.6468953001302052
fz_b,phase,4,0.8659803290117819,3.1830351097620286,2.488838671808663
fz_b,condition,5,0.002533815181003485,8.743634547323833,7.344211215442838
fz_b,controls,6,0.007246311320004639,8.663051788165472,7.244997556698803
fz_b,rates,3,0.09764401902815179,8.259354482344058,6.852853556854633
fz_b,phase+condition,9,0.8652619810976707,3.2135716345910583,2.5177931580573363
fz_b,condition+controls+rates,14,0.11644422209572225,8.229041640656792,6.813489842058871
fz_b,all,18,0.874785858110205,3.0978398711891804,2.4187896290828483
fz_b,angular_derivatives_label_diagnostic,3,0.208238341122993,7.736675630401856,6.357596657682744
mx_b,phase,4,0.16521243384044637,0.6136525125806995,0.453061639083819
mx_b,condition,5,0.0020251535358870587,0.6542265614043828,0.4915294682303926
mx_b,controls,6,0.004706849506327049,0.6700268516809907,0.5058691684121934
mx_b,rates,3,0.08780292862421413,0.6414737182823719,0.47937841080978
mx_b,phase+condition,9,0.17021422024668098,0.5965562069457496,0.4402225448673145
mx_b,condition+controls+rates,14,0.10282379226319971,0.6202671973527649,0.46002389316692144
mx_b,all,18,0.17634001103440944,0.5943112141480865,0.4383544703584803
mx_b,angular_derivatives_label_diagnostic,3,0.9999804501550829,0.002969656306991346,0.0020278358167217406
my_b,phase,4,0.6917215253617142,0.3485124595217172,0.2778012796036014
my_b,condition,5,0.00039010979375775356,0.6386309523989676,0.5387421955899552
my_b,controls,6,0.004222188914124736,0.626387608762452,0.5258862987792131
my_b,rates,3,0.09681715618648601,0.5965331020750637,0.49852546498462214
my_b,phase+condition,9,0.7006374359233201,0.349488939858124,0.27918146120193393
my_b,condition+controls+rates,14,0.11376027264113142,0.6013483009689465,0.5016039902499287
my_b,all,18,0.7114426589866574,0.34313620587103466,0.27428414732526923
my_b,angular_derivatives_label_diagnostic,3,0.9999612262586575,0.003908549015959821,0.0024668030747149647
mz_b,phase,4,0.12534359258463312,0.240579115355913,0.18295883322716663
mz_b,condition,5,0.003392284559559644,0.25659927394375553,0.19563976051141643
mz_b,controls,6,0.001621384723205499,0.2570226554189553,0.19634022508568036
mz_b,rates,3,0.004950828648607519,0.2566028370975484,0.1962324596732135
mz_b,phase+condition,9,0.11286222068753404,0.24209668227098363,0.18355592725115935
mz_b,condition+controls+rates,14,0.009011098874079582,0.2558620972089262,0.19521066965079845
mz_b,all,18,0.11673799185415001,0.24155516899345286,0.18329667515445036
mz_b,angular_derivatives_label_diagnostic,3,0.9999863059465409,0.0009519303907733654,0.0006632611487496614
