target,condition,bin_index,bin_label,condition_median,n,label_std,corrected_rmse,corrected_rmse_over_std,corrected_r2
fx_b,cycle_flap_frequency_hz,0,"(1.681, 3.919]",3.715771740537155,12150,3.453098785046824,1.4352444183680235,0.4156395480439641,0.8272437661018093
fx_b,cycle_flap_frequency_hz,1,"(3.919, 4.267]",4.13101592439856,12143,3.864932839513798,1.126761556689006,0.29153457601368066,0.9150075909885235
fx_b,cycle_flap_frequency_hz,2,"(4.267, 4.498]",4.373062307055004,12120,4.314351914017541,1.1579780954681016,0.26840140038316623,0.9279606882723552
fx_b,cycle_flap_frequency_hz,3,"(4.498, 4.777]",4.624171744217124,12138,4.83442283328199,1.3000657675756637,0.26891850638829534,0.9276828369218884
fx_b,cycle_flap_frequency_hz,4,"(4.777, 5.133]",4.92533720216248,12120,5.384117585120857,1.9254463240511737,0.35761594980246947,0.8721108324468776
fy_b,beta_proxy_rad,0,"(-0.326, -0.108]",-0.1574843555998477,12135,1.0765346056279834,0.8888344303337099,0.8256440858352334,0.31831184352530184
fy_b,beta_proxy_rad,1,"(-0.108, -0.0484]",-0.07413066633389166,12134,0.9714185302114179,0.8098148403895336,0.8336415409054291,0.3050417812768219
fy_b,beta_proxy_rad,2,"(-0.0484, 0.00174]",-0.024535814610178404,12134,0.9726463110043541,0.8451913423397781,0.8689606209137153,0.24490743930125036
fy_b,beta_proxy_rad,3,"(0.00174, 0.0643]",0.032311306403996966,12134,0.9959329849433748,0.8496090025273305,0.8530784855726374,0.27225709745309534
fy_b,beta_proxy_rad,4,"(0.0643, 0.326]",0.10443637208691,12134,1.1858408710849064,1.03324341442819,0.8713170878339624,0.2408065324485431
mx_b,p_dot_smooth,0,"(-170.57500000000002, -21.086]",-34.63491996964941,12135,0.42201037473498376,0.8760042502028433,2.075788422862734,-3.3088975764909563
mx_b,p_dot_smooth,1,"(-21.086, -6.317]",-12.58391266380264,12134,0.09774998900853456,0.3352639275252662,3.429810385922338,-10.763599283380735
mx_b,p_dot_smooth,2,"(-6.317, 5.282]",-0.5034252510496031,12134,0.07730660093259648,0.2806482801755336,3.6303275113625872,-12.179277839756072
mx_b,p_dot_smooth,3,"(5.282, 22.442]",12.326959780663238,12134,0.11335205541035079,0.34571984654623916,3.049965395816454,-8.302288915677819
mx_b,p_dot_smooth,4,"(22.442, 153.489]",37.399468732407215,12134,0.34074154911999865,0.8197252857905377,2.4057098052983723,-4.787439667308733
my_b,elevon_sum,0,"(-0.408, -0.0311]",-0.06701898823181787,12132,0.592034567296636,0.26955928692166986,0.4553100474395248,0.7926927607006177
my_b,elevon_sum,1,"(-0.0311, 0.00963]",-0.00930416335662206,12131,0.675087636303179,0.2899492513667876,0.4294986839850414,0.8155308804551176
my_b,elevon_sum,2,"(0.00963, 0.0496]",0.028759260972340897,12132,0.6470820651895922,0.2858991058572836,0.44182820269252315,0.8047878393054946
my_b,elevon_sum,3,"(0.0496, 0.108]",0.07425116266434392,12131,0.627908146525264,0.2785450709231052,0.4436079902204261,0.8032119510125943
my_b,elevon_sum,4,"(0.108, 0.5]",0.17218555013338727,12132,0.5861830474062693,0.28410118051983146,0.48466290824498687,0.7651018653715114
mz_b,servo_rudder,0,"(-0.984, -0.0447]",-0.08908903847138086,12132,0.2815331783848756,0.24490079835338202,0.8698825472661891,0.24330435396168637
mz_b,servo_rudder,1,"(-0.0447, 0.00996]",-0.011019313397506872,12131,0.2622818848575854,0.22323779934707733,0.8511369340977996,0.27556591941459796
mz_b,servo_rudder,2,"(0.00996, 0.0541]",0.033626706028978035,12132,0.255923452634195,0.2172598309751803,0.8489250544994847,0.2793262518430467
mz_b,servo_rudder,3,"(0.0541, 0.102]",0.07530510673920314,12131,0.24586142325593646,0.20774540354295204,0.8449694986378303,0.28602654637173364
mz_b,servo_rudder,4,"(0.102, 0.768]",0.14702655747532845,12132,0.23825592896562392,0.20925246935568403,0.8782676270183204,0.22864597533160846
